"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","472","redirects unauthenticated visitors to /login","UI Tests","2026-08-10","passed","2026-08-10","login","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1125","ETL pipeline has no quarantined rows","UI Tests","2026-08-10","passed","2026-08-10","service detail (healthy profile)","","",""
"","1344","authenticate as healthy mock user","setup-healthy-stage","2026-08-10","passed","2026-08-10","","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","948","ETL pipeline shows its quarantined rows","UI Tests","2026-08-10","passed","2026-08-10","service detail (outage profile)","","",""
"","1268","authenticate as healthy mock user","setup-healthy-prod","2026-08-10","passed","2026-08-10","","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","996","backend API shows the latency spike","UI Tests","2026-08-10","passed","2026-08-10","service detail (outage profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1175","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-10","passed","2026-08-10","login","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","938","ETL pipeline shows its quarantined rows","UI Tests","2026-08-10","passed","2026-08-10","service detail (outage profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","846","shows the environment-appropriate banner and title","UI Tests","2026-08-10","passed","2026-08-10","environment chrome","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1092","renders all four domain sections with their service cards","UI Tests","2026-08-10","passed","2026-08-10","dashboard index (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","922","frontend smoke test shows its failure stack trace","UI Tests","2026-08-10","passed","2026-08-10","service detail (outage profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","692","rejects invalid credentials","UI Tests","2026-08-10","passed","2026-08-10","login","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3899","a card links to its drill-down page","UI Tests","2026-08-10","passed","2026-08-10","dashboard index (healthy profile)","","",""
"","3466","authenticate as outage mock user","setup-outage-prod","2026-08-10","passed","2026-08-10","","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","643","rejects invalid credentials","UI Tests","2026-08-10","passed","2026-08-10","login","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1066","backend API shows the latency spike","UI Tests","2026-08-10","passed","2026-08-10","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","1149","every service shows as operational","UI Tests","2026-08-10","passed","2026-08-10","dashboard index (healthy profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","998","renders all four domain sections with their service cards","UI Tests","2026-08-10","passed","2026-08-10","dashboard index (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1117","backend API shows a normal P95 latency","UI Tests","2026-08-10","passed","2026-08-10","service detail (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","4079","a card links to its drill-down page","UI Tests","2026-08-10","passed","2026-08-10","dashboard index (healthy profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","490","redirects unauthenticated visitors to /login","UI Tests","2026-08-10","passed","2026-08-10","login","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","1003","shows the environment-appropriate banner and title","UI Tests","2026-08-10","passed","2026-08-10","environment chrome","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1160","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-10","passed","2026-08-10","login","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","844","every service shows as operational","UI Tests","2026-08-10","passed","2026-08-10","dashboard index (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1074","frontend smoke test shows its failure stack trace","UI Tests","2026-08-10","passed","2026-08-10","service detail (outage profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1042","ETL pipeline has no quarantined rows","UI Tests","2026-08-10","passed","2026-08-10","service detail (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1158","backend API shows a normal P95 latency","UI Tests","2026-08-10","passed","2026-08-10","service detail (healthy profile)","","",""
"","3288","authenticate as outage mock user","setup-outage-stage","2026-08-10","passed","2026-08-10","","","",""
